person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,income_to_loan_ratio,emp_length_to_age_ratio,cred_hist_to_age_ratio,loan_grade_numeric,high_interest_flag,default_history_flag,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,age_group_18-25,age_group_26-35,age_group_36-45,age_group_46-60,age_group_60+,income_bracket_Low,income_bracket_Mid-Low,income_bracket_Mid-High,income_bracket_High
1.1893399883947835,1.6874837059733774,-0.44166749410152784,0.8612765294875796,1.786032764011392,-0.5652137173564523,0.30236286474931146,-0.0731339949857381,-0.6570068472297121,0.0607639785476583,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0.21448197993636084,0.8431584818105098,0.31453574037887405,0.46451172321237477,-1.099631809918619,-0.37829631662050656,1.0461583863826318,-0.17213140275379066,0.2509573003116339,1.6124227940073375,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.760376028522062,-0.772556112597789,-0.6937352389283284,-1.1225475018884445,1.4470915586683195,-0.9390485188283437,-0.4414326568840089,0.39500395551687484,-0.6476993321082208,-0.2187273608829673,5,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.9228523632651324,0.2534906459017427,0.31453574037887405,-0.09095900557291199,-1.2084661419095142,-0.4717550169884795,-0.9372963379728891,-0.1282090479860455,0.7441972474238949,-1.108017986344048,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
3.9514376790269816,2.429204254286292,1.070738974859276,2.4483357545883986,0.9588918408805913,-0.19137891588456088,6.004795197271434,-0.31546422818709074,-0.002437947243291497,4.099055511090156,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
-0.5978996937789914,-0.5871259755195605,-0.18959974927472723,0.9565000829936288,0.5733073503985638,1.9581711925788152,-0.6893644974284491,-0.7173532447441416,-0.05046711181252576,-0.7427736223153899,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
-0.5978996937789914,-0.6810772449725296,0.06246799555207342,0.5438646844674158,-1.2799858457892448,1.6777950914748962,-0.9372963379728891,-0.6932579090565071,0.2617224578874968,-1.189183400572639,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
-0.27294702429285056,-0.25087932695103915,-0.18959974927472723,-0.2496649280829939,0.8624957182600849,-0.19137891588456088,-0.4414326568840089,-0.2839681822525399,-0.14652544095099407,-0.43372069890652515,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0.21448197993636084,1.019836316418646,-1.1978707285819297,1.55958258853194,-0.011288490009670906,0.0889971852193577,0.05443102420487134,-0.4245426417904057,-1.2992253906126154,0.13465249356954764,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.9228523632651324,-1.161415472059973,-1.1978707285819297,-1.178094574766973,-1.099631809918619,-0.4717550169884795,-0.4414326568840089,-0.1351574703703866,-1.2992253906126154,-0.13403301560095948,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
-1.0853286980082029,0.5254548469498114,0.06246799555207342,-0.5670767731031577,-0.31913417192677346,-0.9390485188283437,-0.4414326568840089,0.49138529826741284,0.484715007673227,-0.04127254219685598,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
